,year,country,sex_,fatal_(y/n)
5477,1906.0,INDONESIA,M,Y
5478,1906.0,AUSTRALIA,M,N
5479,1906.0,AUSTRALIA,M,Y
5480,1906.0,INDONESIA,M,Y
5481,1906.0,AUSTRALIA,M,
5482,1906.0,NEW ZEALAND,M,
5483,1906.0,AUSTRALIA,M,Y
5484,1906.0,SOUTH AFRICA,M,Y
5485,1905.0,SOUTH AFRICA,M,Y
5486,1905.0,AUSTRALIA,M,
5487,1905.0,AUSTRALIA,M,Y
5488,1905.0,USA,M,N
5489,1905.0,EGYPT,M,
5490,1905.0,USA,M,N
5491,1905.0,PHILIPPINES,M,N
5492,1905.0,USA,M,Y
5493,1905.0,ITALY,M,
5494,1905.0,INDONESIA,M,Y
5495,1905.0,USA,M,Y
5496,1905.0,USA,M,N
5497,1905.0,SOUTH AFRICA,M,Y
5498,1905.0,AUSTRALIA,M,N
5499,1905.0,AUSTRALIA,,
5500,1905.0,AUSTRALIA,M,
5501,1905.0,AUSTRALIA,M,
5502,1905.0,USA,,N
5503,1904.0,PHILIPPINES,M,N
5504,1904.0,INDIAN OCEAN,M,Y
5505,1904.0,CUBA,M,Y
5506,1904.0,CUBA,M,Y
5507,1904.0,USA,M,N
5508,1904.0,USA,M,Y
5509,1904.0,ITALY,M,Y
5510,1904.0,AUSTRALIA,M,Y
5511,1904.0,NEW ZEALAND,M,Y
5512,1904.0,NEW CALEDONIA,M,Y
5513,1904.0,REUNION ISLAND,M,Y
5514,1904.0,USA,M,
5515,1904.0,PHILIPPINES,M,N
5516,1904.0,USA,M,Y
5517,1903.0,CUBA,M,Y
5518,1903.0,USA,M,N
5519,1903.0,FALKLAND ISLANDS,M,N
5520,1903.0,AUSTRALIA,M,Y
5521,1903.0,MEXICO,M,Y
5522,1903.0,AUSTRALIA,M,Y
5523,1903.0,AUSTRALIA,M,Y
5524,1903.0,AUSTRALIA,M,Y
5525,1903.0,CRETE,M,Y
5526,1903.0,USA,M,Y
5527,1902.0,NICARAGUA,M,Y
5528,1902.0,AUSTRALIA,M,Y
5529,1902.0,USA,M,N
5530,1902.0,ITALY,M,Y
5531,1902.0,CROATIA,M,N
5532,1902.0,USA,M,Y
5533,1902.0,ITALY,M,N
5534,1902.0,USA,M,N
5535,1902.0,PHILIPPINES,M,N
5536,1902.0,EGYPT,M,N
5537,1902.0,SOUTH AFRICA,M,
5538,1902.0,NEW ZEALAND,M,N
5539,1902.0,AUSTRALIA,M,Y
5540,1902.0,SOUTH AFRICA,M,
5541,1902.0,AUSTRALIA,M,N
5542,1901.0,AUSTRALIA,M,N
5543,1901.0,PHILIPPINES,M,N
5544,1901.0,CYPRUS,M,Y
5545,1901.0,SOUTH AFRICA,M,Y
5546,1901.0,ITALY,M,
5547,1901.0,YEMEN ,M,
5548,1901.0,PHILIPPINES,M,N
5549,1901.0,AUSTRALIA,M,Y
5550,1901.0,USA,M,N
5551,1900.0,AUSTRALIA,M,Y
5552,1900.0,SOUTH AFRICA,M,Y
5553,1900.0,SOUTH AFRICA,M,
5554,1900.0,AUSTRALIA,M,N
5555,1900.0,USA,M,UNKNOWN
5556,1900.0,USA,M,N
5557,1900.0,USA,M,N
5558,1900.0,CROATIA,M,Y
5559,1900.0,USA,M,
5560,1900.0,USA,,N
5561,1900.0,AUSTRALIA,M,N
5562,1900.0,USA,M,N
5563,1900.0,SOUTH AFRICA,M,N
5564,1899.0,AUSTRALIA,M,N
5565,1899.0,PHILIPPINES,,Y
5566,1899.0,AUSTRALIA,,N
5567,1899.0,LIBYA,M,N
5568,1899.0,LIBYA,M,Y
5569,1899.0,MEXICO,M,Y
5570,1899.0,USA,M,Y
5571,1899.0,USA,M,Y
5572,1899.0,EGYPT ,M,N
5573,1899.0,EGYPT ,M,N
5574,1899.0,EGYPT,M,N
5575,1899.0,BAHAMAS,M,Y
5576,1899.0,ITALY,M,N
5577,1899.0,NEW ZEALAND,M,
5578,1899.0,PHILIPPINES,M,
5579,1899.0,ITALY,M,Y
5580,1899.0,AUSTRALIA,F,
5581,1899.0,SOUTH AFRICA,M,N
5582,1899.0,USA,M,N
5583,1899.0,USA,M,N
5584,1898.0,AUSTRALIA,M,Y
5585,1898.0,USA,M,Y
5586,1898.0,,M,N
5587,1898.0,,M,N
5588,1898.0,WEST INDIES,M,Y
5589,1898.0,USA,M,N
5590,1898.0,AUSTRALIA,M,
5591,1898.0,YEMEN ,M,Y
5592,1898.0,YEMEN ,M,Y
5593,1898.0,CUBA,M,Y
5594,1898.0,NEW CALEDONIA,M,Y
5595,1898.0,FIJI,M,N
5596,1898.0,SRI LANKA,M,Y
5597,1898.0,CRETE,M,
5598,1898.0,USA,M,N
5599,1898.0,CUBA,M,Y
5600,1898.0,JAMAICA,F,N
5601,1898.0,CUBA,M,Y
5602,1898.0,USA,M,N
5603,1898.0,YEMEN ,M,Y
5604,1898.0,USA,M,Y
5605,1897.0,USA,M,N
5606,1897.0,MEXICO,M,
5607,1897.0,MARSHALL ISLANDS,,Y
5608,1897.0,USA,M,N
5609,1897.0,USA,M,N
5610,1897.0,SOUTH AFRICA,M,Y
5611,1897.0,YEMEN ,,Y
5612,1897.0,,M,Y
5613,1897.0,USA,M,Y
5614,1897.0,NEW ZEALAND,M,N
5615,1897.0,EGYPT,,UNKNOWN
5616,1896.0,AUSTRALIA,M,N
5617,1896.0,NEW ZEALAND,M,Y
5618,1896.0,NEW ZEALAND,M,Y
5619,1896.0,AUSTRALIA,M,Y
5620,1896.0,AUSTRALIA,M,Y
5621,1896.0,SRI LANKA,M,N
5622,1896.0,USA,M,Y
5623,1896.0,USA,M,N
5624,1896.0,AUSTRALIA,M,Y
5625,1896.0,USA,M,Y
5626,1896.0,HAITI,M,N
5627,1895.0,AUSTRALIA,M,Y
5628,1895.0,BARBADOS,M,N
5629,1895.0,AUSTRALIA,M,Y
5630,1895.0,CUBA,M,
5631,1895.0,YEMEN ,M,Y
5632,1895.0,USA,,N
5633,1895.0,USA,M,Y
5634,1895.0,USA,M,N
5635,1895.0,JAPAN,M,Y
5636,1895.0,,M,N
5637,1895.0,AUSTRALIA,M,Y
5638,1895.0,BAHAMAS,M,N
5639,1895.0,NEW ZEALAND,M,Y
5640,1895.0,SOUTH AFRICA,M,Y
5641,1895.0,NEW ZEALAND,M,N
5642,1895.0,INDONESIA,M,Y
5643,1895.0,AUSTRALIA,M,N
5644,1895.0,AUSTRALIA,M,Y
5645,1895.0,PANAMA,M,Y
5646,1895.0,AUSTRALIA,,N
5647,1894.0,USA,M,N
5648,1894.0,AUSTRALIA,M,N
5649,1894.0,USA,M,Y
5650,1894.0,USA,M,N
5651,1894.0,FIJI,F,N
5652,1894.0,USA,M,N
5653,1894.0,USA,F,UNKNOWN
5654,1894.0,USA,M,N
5655,1894.0,FRANCE,M,Y
5656,1894.0,USA,M,UNKNOWN
5657,1894.0,SOUTH AFRICA,M,Y
5658,1894.0,USA,M,N
5659,1894.0,MEXICO,M,Y
5660,1894.0,BURMA,F,Y
5661,1894.0,BURMA,F,Y
5662,1893.0,INDIA,M,Y
5663,1893.0,CROATIA,,
5664,1893.0,PHILIPPINES,M,Y
5665,1893.0,NIGERIA,M,Y
5666,1893.0,LEBANON,M,Y
5667,1893.0,FIJI,F,Y
5668,1893.0,CUBA,M,Y
5669,1893.0,SOUTH ATLANTIC OCEAN,M,N
5670,1893.0,AUSTRALIA,M,N
5671,1893.0,AUSTRALIA,M,
5672,1893.0,NEW ZEALAND,M,Y
5673,1893.0,FRENCH POLYNESIA,M,Y
5674,1893.0,EGYPT,,UNKNOWN
5675,1892.0,ATLANTIC OCEAN,M,Y
5676,1892.0,AUSTRALIA,M,N
5677,1892.0,AUSTRALIA,F,N
5678,1892.0,USA,M,N
5679,1892.0,FRANCE,,
5680,1892.0,CUBA,M,Y
5681,1892.0,NEW ZEALAND,M,N
5682,1892.0,BAHAMAS,M,Y
5683,1892.0,PACIFIC OCEAN,M,Y
5684,1892.0,AUSTRALIA,M,N
5685,1892.0,AUSTRALIA,M,Y
5686,1891.0,AUSTRALIA,M,N
5687,1891.0,NEW ZEALAND,M,N
5688,1891.0,MARTINIQUE,M,N
5689,1891.0,KIRIBATI,,Y
5690,1891.0,CANADA,M,Y
5691,1891.0,USA,M,N
5692,1891.0,USA,M,
5693,1891.0,PARAGUAY,,Y
5694,1891.0,JAMAICA,M,Y
5695,1890.0,AUSTRALIA,,
5696,1890.0,BRITISH NEW GUINEA,M,N
5697,1890.0,ATLANTIC OCEAN,M,Y
5698,1890.0,USA,,N
5699,1890.0,USA,M,N
5700,1890.0,SAMOA,M,N
5701,1890.0,CROATIA,M,N
5702,1890.0,PERSIAN GULF,M,N
5703,1890.0,EGYPT,M,Y
5704,1890.0,SOUTH AFRICA,M,
5705,1890.0,CEYLON,M,Y
5706,1890.0,MALTA,M,Y
5707,1890.0,AUSTRALIA,M,N
5708,1890.0,INDIA,M,UNKNOWN
5709,1890.0,INDIA,M,UNKNOWN
5710,1890.0,NEW ZEALAND,M,Y
5711,1890.0,SOUTH AFRICA,M,Y
5712,1889.0,GREECE,,
5713,1889.0,AUSTRALIA,M,Y
5714,1889.0,USA,M,
5715,1889.0,INDIA,M,Y
5716,1889.0,USA,M,Y
5717,1889.0,USA,M,N
5718,1889.0,AUSTRALIA,M,Y
5719,1889.0,USA,,N
5720,1889.0,SIERRA LEONE,M,Y
5721,1888.0,INDIAN OCEAN,M,N
5722,1888.0,AUSTRALIA,M,Y
5723,1888.0,AUSTRALIA,M,Y
5724,1888.0,CROATIA,,Y
5725,1888.0,CANADA,M,Y
5726,1888.0,USA,,N
5727,1888.0,JAMAICA,M,
5728,1888.0,INDIA,M,Y
5729,1888.0,CROATIA,,
5730,1888.0,AUSTRALIA,,N
5731,1888.0,AUSTRALIA,M,
5732,1888.0,NEW ZEALAND,M,N
5733,1888.0,AUSTRALIA,M,N
5734,1888.0,SOUTH AFRICA,M,Y
5735,1888.0,LIBYA,M,N
5736,1887.0,HONDURAS,M,Y
5737,1887.0,AUSTRALIA,M,Y
5738,1887.0,USA,M,Y
5739,1887.0,BAHAMAS,M,Y
5740,1887.0,ITALY,M,N
5741,1887.0,CROATIA,,
5742,1887.0,,M,Y
5743,1887.0,AUSTRALIA,,N
5744,1887.0,NEW ZEALAND,M,Y
5745,1887.0,SOUTH AFRICA,,N
5746,1887.0,BRAZIL,M,Y
5747,1887.0,SOUTH AFRICA,M,Y
5748,1887.0,OCEAN,M,N
5749,1886.0,USA,M,N
5750,1886.0,USA,,N
5751,1886.0,USA,M,N
5752,1886.0,AUSTRALIA,M,Y
5753,1886.0,USA,F,
5754,1886.0,NEW CALEDONIA,M,Y
5755,1886.0,AUSTRALIA,M,N
5756,1886.0,NEW ZEALAND,M,
5757,1886.0,NEW ZEALAND,M,
5758,1886.0,AUSTRALIA,M,
5759,1886.0,AUSTRALIA,M,N
5760,1886.0,SOUTH AFRICA,M,N
5761,1886.0,AUSTRALIA,M,N
5762,1886.0,SOUTH AFRICA,M,Y
5763,1886.0,AUSTRALIA,M,N
5764,1885.0,AUSTRALIA,,N
5765,1885.0,AUSTRALIA,M,N
5766,1885.0,ATLANTIC OCEAN,M,Y
5767,1885.0,USA,M,N
5768,1885.0,USA,M,N
5769,1885.0,USA,M,Y
5770,1885.0,,M,Y
5771,1885.0,NEW ZEALAND,M,N
5772,1885.0,SOUTH AFRICA,M,N
5773,1884.0,AUSTRALIA,M,Y
5774,1884.0,FRANCE,F,Y
5775,1884.0,USA,M,N
5776,1884.0,USA,M,
5777,1884.0,BRAZIL,M,Y
5778,1884.0,SOUTH AFRICA,M,Y
5779,1884.0,AUSTRALIA,F,Y
5780,1883.0,AUSTRALIA,M,Y
5781,1883.0,USA,M,Y
5782,1883.0,URUGUAY,M,Y
5783,1883.0,USA,M,Y
5784,1883.0,AUSTRALIA,M,Y
5785,1883.0,GEORGIA,M,N
5786,1883.0,AUSTRALIA,M,N
5787,1883.0,AUSTRALIA,M,Y
5788,1883.0,AUSTRALIA,M,Y
5789,1883.0,PACIFIC OCEAN,M,Y
5790,1883.0,USA,M,Y
5791,1883.0,USA,M,
5792,1883.0,USA,M,Y
5793,1882.0,NEW ZEALAND,M,N
5794,1882.0,NEW ZEALAND,M,N
5795,1882.0,NEW ZEALAND,M,N
5796,1882.0,JAPAN,M,N
5797,1882.0,AUSTRALIA,M,N
5798,1882.0,AUSTRALIA,M,Y
5799,1882.0,AUSTRALIA,M,Y
5800,1882.0,AUSTRALIA,M,Y
5801,1882.0,AUSTRALIA,M,Y
5802,1882.0,ATLANTIC OCEAN,M,Y
5803,1882.0,USA,M,N
5804,1882.0,AUSTRALIA,M,N
5805,1881.0,AUSTRALIA,M,
5806,1881.0,USA,M,
5807,1881.0,USA,M,Y
5808,1881.0,,M,Y
5809,1881.0,USA,M,N
5810,1881.0,,M,N
5811,1881.0,USA,M,Y
5812,1881.0,INDIA,,Y
5813,1881.0,ITALY,M,N
5814,1880.0,AUSTRALIA,M,Y
5815,1880.0,AUSTRALIA,M,Y
5816,1880.0,MOZAMBIQUE,M,Y
5817,1880.0,USA,M,N
5818,1880.0,INDIA,M,N
5819,1880.0,INDIA,F,N
5820,1880.0,MEXICO,M,
5821,1880.0,INDIA,M,Y
5822,1880.0,INDIA,M,Y
5823,1880.0,AUSTRALIA,,N
5824,1880.0,AUSTRALIA,F,N
5825,1880.0,SYRIA,M,
5826,1880.0,USA,M,
5827,1880.0,SOLOMON ISLANDS,M,N
5828,1880.0,NEW ZEALAND,M,N
5829,1879.0,INDIA,M,Y
5830,1879.0,AUSTRALIA,M,N
5831,1879.0,SPAIN,,N
5832,1879.0,FIJI,M,N
5833,1879.0,USA,M,N
5834,1879.0,NEW ZEALAND,M,Y
5835,1879.0,AUSTRALIA,M,
5836,1879.0,USA,M,Y
5837,1878.0,AUSTRALIA,M,N
5838,1878.0,INDONESIA,M,Y
5839,1878.0,,M,Y
5840,1878.0,USA,M,N
5841,1878.0,SOUTH ATLANTIC OCEAN,M,N
5842,1878.0,SOUTH ATLANTIC OCEAN,M,Y
5843,1878.0,USA,M,Y
5844,1878.0,USA,M,Y
5845,1878.0,PHILIPPINES,F,Y
5846,1878.0,NEW GUINEA,M,N
5847,1878.0,SOUTH AFRICA,M,Y
5848,1878.0,BRAZIL,M,Y
5849,1878.0,AUSTRALIA,M,Y
5850,1877.0,FIJI,,Y
5851,1877.0,AUSTRALIA,M,N
5852,1877.0,AUSTRALIA,M,Y
5853,1877.0,AUSTRALIA,M,N
5854,1877.0,INDIAN OCEAN,M,
5855,1877.0,AUSTRALIA,M,N
5856,1877.0,AUSTRALIA,M,N
5857,1877.0,ITALY,M,N
5858,1877.0,FIJI,M,N
5859,1877.0,AUSTRALIA,M,N
5860,1877.0,AUSTRALIA,M,Y
5861,1877.0,AUSTRALIA,F,N
5862,1877.0,SOUTH AFRICA,M,
5863,1877.0,INDIA,M,N
5864,1876.0,USA,M,Y
5865,1876.0,GREECE,M,Y
5866,1876.0,USA,M,N
5867,1876.0,AUSTRALIA,M,Y
5868,1876.0,AUSTRALIA,M,Y
5869,1876.0,LEBANON,M,Y
5870,1876.0,ENGLAND,M,N
5871,1876.0,AUSTRALIA,M,N
5872,1876.0,AUSTRALIA,M,Y
5873,1875.0,AUSTRALIA,M,N
5874,1875.0,SOUTH AFRICA,,
5875,1875.0,NEW ZEALAND,M,Y
5876,1875.0,AUSTRALIA,M,
5877,1874.0,AUSTRALIA,M,N
5878,1875.0,AUSTRALIA,M,Y
5879,1874.0,CROATIA,,N
5880,1874.0,FRANCE,,N
5881,1874.0,USA,M,N
5882,1874.0,USA,M,N
5883,1874.0,MEXICO,M,Y
5884,1874.0,KIRIBATI,M,Y
5885,1874.0,,M,N
5886,1874.0,HONDURAS,M,Y
5887,1874.0,CANADA,M,N
5888,1874.0,TUVALU,,Y
5889,1874.0,AUSTRALIA,M,N
5890,1873.0,USA,M,N
5891,1873.0,AUSTRALIA,M,
5892,1873.0,AUSTRALIA,M,N
5893,1873.0,CUBA,M,N
5894,1872.0,INDIAN OCEAN?,M,Y
5895,1872.0,AZORES,M,
5896,1872.0,BAHAMAS,M,Y
5897,1872.0,CROATIA,M,
5898,1872.0,USA,M,N
5899,1872.0,AUSTRALIA,,Y
5900,1872.0,Fiji,M,
5901,1872.0,SOUTH ATLANTIC OCEAN,M,N
5902,1871.0,AUSTRALIA,M,
5903,1871.0,USA,M,N
5904,1871.0,USA,M,N
5905,1871.0,SRI LANKA,M,N
5906,1871.0,GUYANA,M,
5907,1871.0,INDIA,M,Y
5908,1871.0,AUSTRALIA,M,Y
5909,1871.0,AUSTRALIA,M,N
5910,1871.0,AUSTRALIA,M,N
5911,1870.0,USA,M,N
5912,1870.0,INDIA,M,N
5913,1870.0,INDIA,M,N
5914,1870.0,AUSTRALIA,M,N
5915,1870.0,INDIA,M,N
5916,1870.0,INDIA,M,N
5917,1870.0,AUSTRALIA,M,N
5918,1870.0,AUSTRALIA,M,
5919,1869.0,AUSTRALIA,M,N
5920,1869.0,,M,
5921,1868.0,ITALY,M,Y
5922,1868.0,INDIA,M,Y
5923,1868.0,VIETNAM,M,Y
5924,1868.0,AUSTRALIA,,N
5925,1868.0,AUSTRALIA,M,Y
5926,1868.0,NEW ZEALAND,M,N
5927,1867.0,EGYPT,M,Y
5928,1867.0,MEXICO,M,Y
5929,1867.0,CUBA,M,Y
5930,1867.0,AUSTRALIA,,N
5931,1867.0,CUBA,M,Y
5932,1866.0,USA,M,Y
5933,1866.0,AUSTRALIA,M,
5934,1865.0,USA,M,N
5935,1865.0,USA,M,Y
5936,1865.0,SOUTH AFRICA,M,Y
5937,1865.0,AUSTRALIA,,N
5938,1864.0,USA,M,Y
5939,1864.0,FRANCE,M,N
5940,1864.0,SCOTLAND,M,N
5941,1864.0,USA,M,N
5942,1864.0,MADAGASCAR,M,Y
5943,1864.0,SPAIN,M,Y
5944,1864.0,MAURITIUS,M,Y
5945,1864.0,CHINA,M,
5946,1864.0,MAURITIUS,M,Y
5947,1864.0,PANAMA,M,Y
5948,1864.0,NEW ZEALAND,M,Y
5949,1864.0,NEW ZEALAND,M,N
5950,1864.0,INDONESIA,M,Y
5951,1864.0,AUSTRALIA,M,
5952,1863.0,GUINEA,M,Y
5953,1863.0,USA,M,N
5954,1863.0,USA,M,N
5955,1863.0,AUSTRALIA,M,Y
5956,1863.0,AUSTRALIA,M,N
5957,1863.0,SOUTH AFRICA,M,
5958,1863.0,AUSTRALIA,M,Y
5959,1863.0,ANDAMAN ISLANDS,M,Y
5960,1863.0,CEYLON,M,Y
5961,1863.0,CEYLON,M,Y
5962,1863.0,GREECE,M,Y
5963,1862.0,NEW ZEALAND,M,N
5964,1862.0,AUSTRALIA,M,Y
5965,1862.0,NEW ZEALAND,,
5966,1862.0,SPAIN,F,N
5967,1862.0,SPAIN,M,
5968,1862.0,SPAIN,M,Y
5969,1862.0,SPAIN,M,Y
5970,1862.0,SPAIN,M,Y
5971,1862.0,SOUTH AFRICA,M,N
5972,1862.0,SOUTH AFRICA,M,N
5973,1862.0,USA,F,N
5974,1862.0,JAPAN,M,Y
5975,1861.0,SINGAPORE,M,Y
5976,1861.0,CUBA,M,N
5977,1861.0,NEW ZEALAND,M,N
5978,1861.0,EQUATORIAL GUINEA / CAMEROON,M,Y
5979,1861.0,AUSTRALIA,M,N
5980,1860.0,AUSTRALIA,M,N
5981,1860.0,CANADA,M,Y
5982,1860.0,USA,M,N
5983,1860.0,NEW ZEALAND,M,N
5984,1860.0,NEW ZEALAND,M,Y
5985,1860.0,COOK ISLANDS,M,Y
5986,1860.0,BAHAMAS,M,Y
5987,1859.0,USA,M,Y
5988,1858.0,USA,M,
5989,1858.0,USA,M,
5990,1858.0,TOBAGO,M,N
5991,1858.0,AUSTRALIA,M,Y
5992,1858.0,USA,M,Y
5993,1858.0,TONGA,M,Y
5994,1857.0,USA,M,Y
5995,1856.0,FIJI,M,Y
5996,1856.0,,M,Y
5997,1856.0,ENGLAND,M,Y
5998,1856.0,AUSTRALIA,M,UNKNOWN
5999,1855.0,AUSTRALIA,M,Y
6000,1855.0,USA,M,N
6001,1855.0,,M,Y
6002,1855.0,AUSTRALIA,F,Y
6003,1855.0,AUSTRALIA,M,Y
6004,1855.0,SOLOMON ISLANDS,M,Y
6005,1855.0,AUSTRALIA,M,
6006,1853.0,AUSTRALIA,M,N
6007,1853.0,USA,M,N
6008,1853.0,USA,M,Y
6009,1853.0,GREECE,M,N
6010,1853.0,AUSTRALIA,M,Y
6011,1853.0,USA,M,N
6012,1853.0,USA,M,
6013,1853.0,USA,M,Y
6014,1852.0,AUSTRALIA,M,
6015,1852.0,PACIFIC OCEAN,M,N
6016,1852.0,AUSTRALIA,M,Y
6017,1852.0,TONGA,M,Y
6018,1852.0,USA,M,Y
6019,1852.0,ATLANTIC OCEAN,F,
6020,1852.0,SOUTH AFRICA,M,Y
6021,1852.0,SOUTH AFRICA,M,Y
6022,1852.0,NEW ZEALAND,M,Y
6023,1852.0,USA,M,Y
6024,1851.0,MEXICO,M,Y
6025,1851.0,USA,M,Y
6026,1851.0,USA,M,N
6027,1850.0,USA,M,Y
6028,1850.0,NICARAGUA,M,Y
6029,1849.0,AUSTRALIA,M,Y
6030,1849.0,AUSTRALIA,M,Y
6031,1849.0,PERU,M,Y
6032,1849.0,AUSTRALIA,M,Y
6033,1849.0,USA,M,Y
6034,1849.0,USA,F,Y
6035,1849.0,AUSTRALIA,M,
6036,1848.0,USA,M,N
6037,1848.0,USA,M,
6038,1848.0,ENGLAND,M,N
6039,1847.0,AUSTRALIA,M,N
6040,1847.0,USA,M,N
6041,1847.0,GREECE,M,Y
6042,1847.0,USA,M,N
6043,1847.0,AUSTRALIA,M,N
6044,1847.0,MEXICO,,Y
6045,1847.0,AUSTRALIA,,N
6046,1847.0,USA,M,
6047,1847.0,USA,M,N
6048,1846.0,MEXICO,M,Y
6049,1846.0,AFRICA,M,Y
6050,1846.0,CUBA,M,N
6051,1845.0,AUSTRALIA,M,Y
6052,1845.0,MEXICO,M,Y
6053,1845.0,ENGLAND,M,N
6054,1845.0,USA,M,Y
6055,1845.0,USA,M,Y
6056,1845.0,SIERRA LEONE,M,Y
6057,1844.0,NAMIBIA,M,Y
6058,1844.0,ALGERIA,M,Y
6059,1844.0,Coast of AFRICA,M,Y
6060,1844.0,MADAGASCAR,M,Y
6061,1842.0,USA,M,N
6062,1842.0,USA,,N
6063,1842.0,INDIA,M,Y
6064,1842.0,AUSTRALIA,M,N
6065,1841.0,AUSTRALIA,M,Y
6066,1840.0,AUSTRALIA,M,Y
6067,1840.0,FIJI,M,N
6068,1840.0,USA,M,Y
6069,1840.0,WEST INDIES,M,Y
6070,1840.0,AUSTRALIA,,N
6071,1839.0,AUSTRALIA,M,
6072,1839.0,CUBA,M,Y
6073,1839.0,AUSTRALIA,M,Y
6074,1839.0,FIJI,M,N
6075,1837.0,USA,M,N
6076,1837.0,USA,M,N
6077,1837.0,AUSTRALIA,M,Y
6078,1837.0,USA,M,
6079,,ENGLAND,M,Y
6080,1836.0,SPAIN,,
6081,1836.0,AUSTRALIA,,UNKNOWN
6082,1835.0,VANUATU,M,Y
6083,1835.0,TASMAN SEA,M,N
6084,1834.0,FRENCH POLYNESIA,F,Y
6085,1832.0,AUSTRALIA,F,N
6086,1832.0,AUSTRALIA,M,N
6087,1831.0,USA,M,Y
6088,1831.0,AUSTRALIA,M,
6089,1830.0,USA,M,Y
6090,1830.0,INDIA,M,Y
6091,1830.0,INDIA,M,Y
6092,1830.0,,M,Y
6093,1829.0,SIERRA LEONE,M,N
6094,1829.0,USA,M,Y
6095,1829.0,CARIBBEAN SEA,M,Y
6096,1828.0,SIERRA LEONE,M,N
6097,1828.0,USA,M,Y
6098,1827.0,SIERRA LEONE,M,N
6099,1827.0,SIERRA LEONE,M,N
6100,1827.0,EGYPT,M,Y
6101,1826.0,BRAZIL,M,N
6102,1826.0,GHANA,M,Y
6103,1826.0,CUBA,M,Y
6104,1826.0,ENGLAND,,
6105,1826.0,JAMAICA,M,Y
6106,1825.0,AUSTRALIA,M,Y
6107,1825.0,AUSTRALIA,M,N
6108,1823.0,JAMAICA,,
6109,1822.0,NIGERIA,,Y
6110,1819.0,SPAIN,M,
6111,1818.0,NORWAY,M,
6112,1817.0,USA,M,Y
6113,1817.0,INDIA,M,Y
6114,1817.0,SRI LANKA,M,Y
6115,1817.0,SRI LANKA,M,N
6116,1816.0,USA,M,Y
6117,1815.0,TOBAGO,M,y
6118,1812.0,ENGLAND,M,N
6119,1811.0,,M,Y
6120,1810.0,USA,M,Y
6121,1808.0,JAMAICA,M,Y
6122,1808.0,ANTIGUA,,
6123,1808.0,INDIA,M,Y
6124,1807.0,AUSTRALIA,M,N
6125,1896.0,USA,M,
6126,1805.0,USA,M,
6127,1804.0,AUSTRALIA,,N
6128,1803.0,USA,M,N
6129,1803.0,AUSTRALIA,M,N
6130,1802.0,INDIA,,Y
6131,1801.0,,N,Y
6132,1800.0,SEYCHELLES,F,Y
6133,1797.0,,,Y
6134,1792.0,ENGLAND,M,Y
6135,1791.0,AUSTRALIA,F,Y
6136,1788.0,AUSTRALIA,,N
6137,1787.0,,M,Y
6138,1786.0,BARBADOS,M,Y
6139,1785.0,ENGLAND,M,Y
6140,1784.0,JAMAICA,M,Y
6141,1783.0,MARTINIQUE,M,Y
6142,1780.0,USA,M,Y
6143,1779.0,USA,M,Y
6144,1776.0,GUINEA,M,Y
6145,1776.0,GREENLAND,,Y
6146,1771.0,USA,M,Y
6147,1767.0,FRANCE,M,
6148,1764.0,SPAIN,M,Y
6149,1758.0,MEDITERRANEAN SEA,M,N
6150,1753.0,JAMAICA,M,Y
6151,1751.0,USA,M,Y
6152,1749.0,CUBA,M,N
6153,1755.0,SWEDEN,M,UNKNOWN
6154,1748.0,PANAMA,M,Y
6155,1742.0,,M,Y
6156,1738.0,ITALY,M,Y
6157,1733.0,ICELAND,,
6158,1723.0,ROATAN,M,
6159,1721.0,ITALY,M,Y
6160,1703.0,BARBADOS,M,N
6161,1700.0,FRANCE,M,Y
6162,1700.0,FRANCE,M,N
6163,1700.0,BARBADOS,M,Y
6164,1642.0,GUINEA,M,
6165,1638.0,,M,UNKNOWN
6166,1637.0,INDIA,,UNKNOWN
6167,1617.0,INDIA,,UNKNOWN
6168,1642.0,USA,M,Y
6169,1595.0,INDIA,M,UNKNOWN
6170,1580.0,Between PORTUGAL & INDIA,M,Y
6171,1555.0,,M,UNKNOWN
6172,1554.0,FRANCE,M,UNKNOWN
6173,1543.0,VENEZUELA,M,Y
6174,500.0,MEXICO,M,N
6175,77.0,,M,Y
6176,5.0,AUSTRALIA,M,N
6177,0.0,,M,Y
6178,0.0,GREECE,M,Y
6179,0.0,GREECE,M,Y
6180,0.0,ITALY,M,Y
6181,0.0,CANADA,M,N
6182,0.0,KENYA,M,N
6183,0.0,KENYA,M,Y
6184,0.0,PANAMA,M,Y
6185,0.0,URUGUAY,,N
6186,0.0,URUGUAY,M,Y
6187,0.0,USA,M,N
6188,0.0,PAPUA NEW GUINEA,M,Y
6189,0.0,AUSTRALIA,F,N
6190,0.0,AUSTRALIA,M,Y
6191,0.0,USA,M,N
6192,0.0,BERMUDA,M,Y
6193,0.0,GREECE,F,Y
6194,0.0,USA,M,Y
6195,0.0,INDIA,M,N
6196,0.0,LEBANON,M,N
6197,0.0,SPAIN,,N
6198,0.0,SUDAN,F,N
6199,0.0,,M,N
6200,0.0,USA,F,N
6201,0.0,USA,M,N
6202,0.0,DJIBOUTI,,Y
6203,0.0,LIBYA,M,Y
6204,0.0,AUSTRALIA,M,N
6205,0.0,NEW ZEALAND,M,Y
6206,0.0,,F,N
6207,0.0,VIETNAM,M,N
